[LEXTOKEN] PACKAGE -> 'package' (line 1, pos 0)
[LEXTOKEN] MAIN -> 'main' (line 1, pos 8)
[LEXTOKEN] import -> 'import' (line 3, pos 14)
[LEXTOKEN] LPAREN -> '(' (line 3, pos 21)
[LEXTOKEN] STRING -> '"fmt"' (line 4, pos 24)
[LEXTOKEN] RPAREN -> ')' (line 5, pos 30)
[LEXTOKEN] TYPE -> 'type' (line 7, pos 33)
[LEXTOKEN] IDENTIFIER -> 'Persona' (line 7, pos 38)
[LEXTOKEN] STRUCT -> 'struct' (line 7, pos 46)
[LEXTOKEN] LBRACE -> '{' (line 7, pos 53)
[LEXTOKEN] IDENTIFIER -> 'nombre' (line 8, pos 56)
[LEXTOKEN] DTYPE -> 'string' (line 8, pos 63)
[LEXTOKEN] IDENTIFIER -> 'edad' (line 9, pos 71)
[LEXTOKEN] DTYPE -> 'int' (line 9, pos 78)
[LEXTOKEN] RBRACE -> '}' (line 10, pos 82)
[LEXTOKEN] FUNC -> 'func' (line 12, pos 85)
[LEXTOKEN] IDENTIFIER -> 'saludar' (line 12, pos 90)
[LEXTOKEN] LPAREN -> '(' (line 12, pos 97)
[LEXTOKEN] IDENTIFIER -> 'p' (line 12, pos 98)
[LEXTOKEN] IDENTIFIER -> 'Persona' (line 12, pos 100)
[LEXTOKEN] RPAREN -> ')' (line 12, pos 107)
[LEXTOKEN] DTYPE -> 'string' (line 12, pos 109)
[LEXTOKEN] LBRACE -> '{' (line 12, pos 116)
[LEXTOKEN] IF -> 'if' (line 13, pos 119)
[LEXTOKEN] IDENTIFIER -> 'p' (line 13, pos 122)
[LEXTOKEN] DOT -> '.' (line 13, pos 123)
[LEXTOKEN] IDENTIFIER -> 'edad' (line 13, pos 124)
[LEXTOKEN] GE -> '>=' (line 13, pos 129)
[LEXTOKEN] NUMBER -> '18' (line 13, pos 132)
[LEXTOKEN] LBRACE -> '{' (line 13, pos 135)
[LEXTOKEN] RETURN -> 'return' (line 14, pos 139)
[LEXTOKEN] STRING -> '"Hola "' (line 14, pos 146)
[LEXTOKEN] PLUS -> '+' (line 14, pos 154)
[LEXTOKEN] IDENTIFIER -> 'p' (line 14, pos 156)
[LEXTOKEN] DOT -> '.' (line 14, pos 157)
[LEXTOKEN] IDENTIFIER -> 'nombre' (line 14, pos 158)
[LEXTOKEN] PLUS -> '+' (line 14, pos 165)
[LEXTOKEN] STRING -> '", eres mayor de edad."' (line 14, pos 167)
[LEXTOKEN] RBRACE -> '}' (line 15, pos 192)
[LEXTOKEN] RETURN -> 'return' (line 16, pos 195)
[LEXTOKEN] STRING -> '"Hola "' (line 16, pos 202)
[LEXTOKEN] PLUS -> '+' (line 16, pos 210)
[LEXTOKEN] IDENTIFIER -> 'p' (line 16, pos 212)
[LEXTOKEN] DOT -> '.' (line 16, pos 213)
[LEXTOKEN] IDENTIFIER -> 'nombre' (line 16, pos 214)
[LEXTOKEN] PLUS -> '+' (line 16, pos 221)
[LEXTOKEN] STRING -> '", eres menor de edad."' (line 16, pos 223)
[LEXTOKEN] RBRACE -> '}' (line 17, pos 247)
[LEXTOKEN] FUNC -> 'func' (line 19, pos 250)
[LEXTOKEN] MAIN -> 'main' (line 19, pos 255)
[LEXTOKEN] LPAREN -> '(' (line 19, pos 259)
[LEXTOKEN] RPAREN -> ')' (line 19, pos 260)
[LEXTOKEN] LBRACE -> '{' (line 19, pos 262)
[LEXTOKEN] VAR -> 'var' (line 21, pos 294)
[LEXTOKEN] IDENTIFIER -> 'mensaje' (line 21, pos 298)
[LEXTOKEN] DTYPE -> 'string' (line 21, pos 306)
[LEXTOKEN] VAR -> 'var' (line 22, pos 314)
[LEXTOKEN] IDENTIFIER -> 'contador' (line 22, pos 318)
